职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
图像处理算法工程师,桂林远望智能通信科技有限公司,民营公司,本科,3-4年工作经验,0.6-1万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89598067
图像工程师,无锡先导智能装备股份有限公司,上市公司,学历不限,工作经验不限,2-3万/月,1000-5000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89571936
图像算法工程师,广东美的安川服务机器人有限公司,民营公司,本科,2年工作经验,1-1.5万/月,10000人以上,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86749991
软件工程师（二维图像处理方向）,深圳市易尚展示股份有限公司,上市公司,本科,2年工作经验,1-1.5万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87410904
项目开发与图像处理工程师,深圳市智信精密仪器有限公司,民营公司,学历不限,1年工作经验,0.7-1.4万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85718026
摄像机图像工程师,深圳市同为数码科技股份有限公司,民营公司,学历不限,5-7年工作经验,1.5-2万/月,1000-5000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77242086
图片美工（平面设计、图像美化）,深圳市腾辉电子商务有限公司,民营公司,大专,3-4年工作经验,0.5-1万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=62149166
图像算法工程师,深圳市柔宇科技有限公司,合资,本科,工作经验不限,0.5-1万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89124374
亚马逊 速卖通 美工 图像处理,深圳市万一发电子商务有限公司,民营公司,大专,工作经验不限,4-6千/月,少于50人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86416043
图像算法/软件开发工程师,深圳市劲拓自动化设备股份有限公司,上市公司,本科,3-4年工作经验,1-1.5万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86358117
图像处理软件工程师,深圳市奥贝尔电子有限公司,民营公司,硕士,2年工作经验,1-2万/月,少于50人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73705355
图像算法工程师,深圳市维海德技术股份有限公司,民营公司,本科,工作经验不限,1.5-3万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89420495
图像处理员（龙岗裕同）,深圳市裕同包装科技股份有限公司,民营公司,大专,2年工作经验,6-8千/月,10000人以上,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=88644678
图像分析算法工程师,广东奥普特科技股份有限公司,民营公司,硕士,工作经验不限,0.6-1万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73926293
图像算法工程师,深圳市易天富电子有限公司,民营公司,学历不限,工作经验不限,0.9-1.5万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80563733
图像算法工程师,深圳特普威科技有限公司,民营公司,大专,工作经验不限,0.8-1万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83142829
IQ图像质量工程师,深圳市青青子木科技有限公司,民营公司,本科,3-4年工作经验,0.6-1.2万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=88143420
图像算法工程师,深圳市赛洛诗健康科技有限公司,民营公司,本科,5-7年工作经验,1.5-2万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=88002939
3D双目图像采集和分析视觉算法研究开发,深圳市唯特视科技有限公司,民营公司,硕士,5-7年工作经验,2-5万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=74786759
博士后工作站-图像处理方向,深圳市理邦精密仪器股份有限公司,民营公司,博士,工作经验不限,1.5-2万/月,1000-5000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86382747
图像算法开发工程师,深圳柏斯生物科技有限公司,民营公司,硕士,1年工作经验,0.8-1.6万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85462625
图像算法工程师,广东思锐光学股份有限公司,民营公司,学历不限,工作经验不限,3-4万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87769428
图像处理/算法工程师,湖南国科微电子股份有限公司,民营公司,学历不限,3-4年工作经验,1.5-2万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=70342131
图像识别算法工程师（研究院）,金蝶软件（中国）有限公司,外资（非欧美）,本科,1年工作经验,1.2-1.8万/月,5000-10000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=88458326
图像处理高级工程师,深圳市永得源科技有限公司,民营公司,学历不限,工作经验不限,1.5-2万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86631543
图像识别工程师,深圳市图瑞科技有限公司,民营公司,大专,工作经验不限,1.8-2.5万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87822718
图像测试工程师,深圳看到科技有限公司,民营公司,本科,工作经验不限,0.8-1万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89514353
图像处理工程师,深圳市茁壮网络股份有限公司,民营公司,硕士,工作经验不限,1-1.8万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87365060
高级图像算法工程师,深圳吉迪思电子科技有限公司,民营公司,本科,3-4年工作经验,1-3万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87323184
ADAS图像算法工程师,深圳市中天安驰有限责任公司,创业公司,本科,2年工作经验,0.8-2万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=74688632
图像处理算法工程师,桂林远望智能通信科技有限公司,民营公司,本科,3-4年工作经验,0.6-1万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89598067
图像工程师,无锡先导智能装备股份有限公司,上市公司,学历不限,工作经验不限,2-3万/月,1000-5000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89571936
图像算法工程师,广东美的安川服务机器人有限公司,民营公司,本科,2年工作经验,1-1.5万/月,10000人以上,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86749991
软件工程师（二维图像处理方向）,深圳市易尚展示股份有限公司,上市公司,本科,2年工作经验,1-1.5万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=87410904
项目开发与图像处理工程师,深圳市智信精密仪器有限公司,民营公司,学历不限,1年工作经验,0.7-1.4万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=85718026
摄像机图像工程师,深圳市同为数码科技股份有限公司,民营公司,学历不限,5-7年工作经验,1.5-2万/月,1000-5000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=77242086
图片美工（平面设计、图像美化）,深圳市腾辉电子商务有限公司,民营公司,大专,3-4年工作经验,0.5-1万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=62149166
图像算法工程师,深圳市柔宇科技有限公司,合资,本科,工作经验不限,0.5-1万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89124374
亚马逊 速卖通 美工 图像处理,深圳市万一发电子商务有限公司,民营公司,大专,工作经验不限,4-6千/月,少于50人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86416043
图像算法/软件开发工程师,深圳市劲拓自动化设备股份有限公司,上市公司,本科,3-4年工作经验,1-1.5万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=86358117
图像处理软件工程师,深圳市奥贝尔电子有限公司,民营公司,硕士,2年工作经验,1-2万/月,少于50人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73705355
图像算法工程师,深圳市维海德技术股份有限公司,民营公司,本科,工作经验不限,1.5-3万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=89420495
图像处理员（龙岗裕同）,深圳市裕同包装科技股份有限公司,民营公司,大专,2年工作经验,6-8千/月,10000人以上,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=88644678
图像分析算法工程师,广东奥普特科技股份有限公司,民营公司,硕士,工作经验不限,0.6-1万/月,500-1000人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=73926293
图像算法工程师,深圳市易天富电子有限公司,民营公司,学历不限,工作经验不限,0.9-1.5万/月,150-500人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=80563733
图像算法工程师,深圳特普威科技有限公司,民营公司,大专,工作经验不限,0.8-1万/月,50-150人,,http://m.51job.com/search/jobdetail.php?jobtype=0&jobid=83142829
